tag,sentence
COMMAND:ACTION,Abra a porta
COMMAND:ACTION,Abra a porta da garagem
COMMAND:ACTION,Abra a porta da garagem para a entrega
COMMAND:ACTION,Abra a porta usando a fechadura inteligente
COMMAND:ACTION,Abra as cortinas na sala de estar
COMMAND:ACTION,Abra as persianas na sala de estar
COMMAND:ACTION,Abra as persianas no escritório
COMMAND:ACTION,Abra as portas da câmara de cápsulas
COMMAND:ACTION,Abra o aplicativo de calendário e mostre-me a agenda de hoje
COMMAND:ACTION,Abra o navegador e procure eventos locais
COMMAND:ACTION,Abrir porta
COMMAND:ACTION,Acelera o processo automatizando o fluxo de trabalho
COMMAND:ACTION,Acelerar o processo automatizando o fluxo de trabalho
COMMAND:ACTION,Acorda cedo
COMMAND:ACTION,Acorde cedo
COMMAND:ACTION,Adiciona "A História de Roma" à minha lista de podcasts
COMMAND:ACTION,Adiciona "The Office" à minha lista de observação
COMMAND:ACTION,Adiciona "comprar leite" à minha lista de tarefas
COMMAND:ACTION,Adicione "A História de Roma" à minha lista de podcasts
COMMAND:ACTION,Adicione "The Office" à minha lista de observação
COMMAND:ACTION,Adicione "comprar leite" à minha lista de tarefas
COMMAND:ACTION,Adicione esta música aos meus favoritos
COMMAND:ACTION,Adicione esta música à minha lista de reprodução
COMMAND:ACTION,Adicione este audiolivro aos meus favoritos
COMMAND:ACTION,Adicione este audiolivro à minha biblioteca
COMMAND:ACTION,Adicione este filme à minha lista de observação
COMMAND:ACTION,Adicione este podcast aos meus favoritos
COMMAND:ACTION,Adicione este programa à minha lista de observação
COMMAND:ACTION,Adicione um marcador a esta secção do audiolivro
COMMAND:ACTION,Adquira o equipamento necessário
COMMAND:ACTION,Agende uma reunião com o cliente
COMMAND:ACTION,Ajuste a temperatura do esquentador
COMMAND:ACTION,Ajuste a temperatura no quarto
COMMAND:ACTION,Ajuste a velocidade da fala para média
COMMAND:ACTION,Ajuste as persianas para 50 por cento
COMMAND:ACTION,Ajuste as persianas para meio aberto
COMMAND:ACTION,Ajuste o brilho das luzes da sala de estar
COMMAND:ACTION,Ajuste o brilho do ecrã
COMMAND:ACTION,Ajuste o sistema de irrigação para regar o jardim
COMMAND:ACTION,Ajuste o termostato do quarto para 20 graus
COMMAND:ACTION,Ajuste o termostato inteligente para 20 graus
COMMAND:ACTION,Ajuste o termostato para 21 graus
COMMAND:ACTION,Ajuste o termostato para 22 graus
COMMAND:ACTION,Ajuste o volume no altifalante da cozinha para baixo
COMMAND:ACTION,Ajuste o volume no altifalante inteligente
COMMAND:ACTION,Ajuste o volume para 50 por cento
COMMAND:ACTION,Ajuste o ângulo do monitor
COMMAND:ACTION,Alimente o gato
COMMAND:ACTION,Alocar fundos para o novo projeto
COMMAND:ACTION,Alocar mais recursos para o projeto
COMMAND:ACTION,Altere a entrada da TV para HDMI 1
COMMAND:ACTION,Altere a saída de voz para voz masculina
COMMAND:ACTION,Altere a saída de áudio para altifalantes Bluetooth
COMMAND:ACTION,Altere as respostas do assistente para mandarim
COMMAND:ACTION,Altere o canal da TV para o 5
COMMAND:ACTION,Altere para o canal de notícias em alemão
COMMAND:ACTION,Altere para uma conta diferente da Netflix
COMMAND:ACTION,Amplie a área de pesquisa para incluir cidades próximas
COMMAND:ACTION,Anexe os arquivos ao e-mail
COMMAND:ACTION,Anote o documento com os seus comentários
COMMAND:ACTION,Arranque as ervas daninhas do jardim este fim de semana
COMMAND:ACTION,Arrume a mesa
COMMAND:ACTION,Aspirar o tapete
COMMAND:ACTION,Assine o contrato depois de revisar
COMMAND:ACTION,Ativa a aplicação de aprendizagem de línguas
COMMAND:ACTION,Ativa o ar condicionado
COMMAND:ACTION,Ativa o ar condicionado para 20 graus
COMMAND:ACTION,Ativa o modo noturno no ecrã
COMMAND:ACTION,Ativa o sistema de alarme
COMMAND:ACTION,Ativa o sistema de irrigação inteligente agora
COMMAND:ACTION,Ativa o sistema de segurança da casa
COMMAND:ACTION,Ative a TV e altere para o canal 7
COMMAND:ACTION,Ative a câmera de segurança na garagem
COMMAND:ACTION,Ative a funcionalidade de texto para fala em português
COMMAND:ACTION,Ative a funcionalidade de voz no aplicativo de tradução
COMMAND:ACTION,Ative a luz
COMMAND:ACTION,Ative a máquina de café
COMMAND:ACTION,Ative a transmissão das câmeras de segurança
COMMAND:ACTION,Ative as câmeras de segurança
COMMAND:ACTION,Ative as legendas
COMMAND:ACTION,Ative as legendas em inglês
COMMAND:ACTION,Ative as legendas para este filme
COMMAND:ACTION,Ative as legendas para este programa
COMMAND:ACTION,Ative as legendas para o filme
COMMAND:ACTION,Ative as legendas para o filme em hindi
COMMAND:ACTION,Ative as legendas para o programa atual
COMMAND:ACTION,Ative as luzes da cozinha
COMMAND:ACTION,Ative as luzes da sala de estar
COMMAND:ACTION,Ative as luzes do quarto
COMMAND:ACTION,Ative as luzes externas ao anoitecer
COMMAND:ACTION,Ative as luzes inteligentes na sala de estar
COMMAND:ACTION,Ative legendas para este programa
COMMAND:ACTION,Ative o Bluetooth
COMMAND:ACTION,Ative o aplicativo de aprendizagem de línguas
COMMAND:ACTION,Ative o ar condicionado
COMMAND:ACTION,Ative o ar condicionado na sala de estar
COMMAND:ACTION,Ative o ar condicionado para 20 graus
COMMAND:ACTION,Ative o comando por voz para controlar o audiolivro
COMMAND:ACTION,Ative o desumidificador no porão
COMMAND:ACTION,Ative o modo "Não Perturbar"
COMMAND:ACTION,Ative o modo "não perturbar"
COMMAND:ACTION,Ative o modo de aprendizagem de línguas
COMMAND:ACTION,Ative o modo escuro no ecrã
COMMAND:ACTION,Ative o modo noturno nas câmeras de segurança
COMMAND:ACTION,Ative o modo noturno no ecrã
COMMAND:ACTION,Ative o purificador de ar
COMMAND:ACTION,Ative o reconhecimento de voz para vários idiomas
COMMAND:ACTION,Ative o recurso de som ambiente
COMMAND:ACTION,Ative o recurso de tradução de línguas
COMMAND:ACTION,Ative o sistema de alarme
COMMAND:ACTION,Ative o sistema de irrigação inteligente agora
COMMAND:ACTION,Ative o sistema de segurança
COMMAND:ACTION,Ative o sistema de segurança da casa
COMMAND:ACTION,Ative o som surround para este filme
COMMAND:ACTION,Ative o temporizador de sono por 30 minutos
COMMAND:ACTION,Ative o ventilador no quarto
COMMAND:ACTION,Ative os aspersores
COMMAND:ACTION,Ative os aspersores por 15 minutos
COMMAND:ACTION,Ative os controlos parentais no navegador
COMMAND:ACTION,Atualize a base de dados com as novas entradas
COMMAND:ACTION,Atualize a lista de compras
COMMAND:ACTION,Atualize a lista de compras com leite
COMMAND:ACTION,Atualize a minha lista de compras
COMMAND:ACTION,Atualize as configurações de idioma para Japonês
COMMAND:ACTION,Atualize o calendário com o novo horário da reunião
COMMAND:ACTION,Atualize o dicionário com novas palavras
COMMAND:ACTION,Atualize o dicionário do assistente de voz
COMMAND:ACTION,Atualize o firmware do termostato inteligente
COMMAND:ACTION,Atualize o firmware para a versão mais recente
COMMAND:ACTION,Atualize o meu status nas redes sociais
COMMAND:ACTION,Atualize o seu status na ferramenta de gestão de projetos
COMMAND:ACTION,Atualize o seu status para 'fora do escritório'
COMMAND:ACTION,Atualize o sistema operativo
COMMAND:ACTION,Atualize o software no laptop
COMMAND:ACTION,Atualize o software no meu tablet
COMMAND:ACTION,Aumente a temperatura do termostato em 3 graus
COMMAND:ACTION,Aumente a velocidade de reprodução do podcast para 1,5x
COMMAND:ACTION,Aumente o brilho das luzes da sala de estar
COMMAND:ACTION,Aumente o brilho das luzes do quarto
COMMAND:ACTION,Aumente o brilho das lâmpadas inteligentes
COMMAND:ACTION,Aumente o brilho do ecrã da TV
COMMAND:ACTION,Aumente o brilho do texto das legendas
COMMAND:ACTION,Aumente o volume
COMMAND:ACTION,Aumente o volume das colunas da sala de estar
COMMAND:ACTION,Aumente o volume do alto-falante
COMMAND:ACTION,Aumente o volume do alto-falante na cozinha
COMMAND:ACTION,Aumente o volume do audiolivro
COMMAND:ACTION,Aumente o volume em 10 por cento
COMMAND:ACTION,Aumente o volume em 10%
COMMAND:ACTION,Aumente o volume em 5 níveis
COMMAND:ACTION,Aumente o volume no estéreo
COMMAND:ACTION,Aumente o volume para 75 por cento
COMMAND:ACTION,Aumente o volume para 80%
COMMAND:ACTION,Aumente o volume para o podcast
COMMAND:ACTION,Aumente o volume para o programa de TV coreano
COMMAND:ACTION,Autentique a sua identidade antes de prosseguir
COMMAND:ACTION,Avalie o desempenho de cada membro da equipa
COMMAND:ACTION,Avance 10 minutos
COMMAND:ACTION,Avance 5 minutos
COMMAND:ACTION,Avance 5 minutos no audiolivro
COMMAND:ACTION,Avance o filme em 15 minutos
COMMAND:ACTION,Bloqueie todos os sites para adultos neste dispositivo
COMMAND:ACTION,Busque as crianças
COMMAND:ACTION,Calcule o custo total antes de finalizar a compra
COMMAND:ACTION,Calibre a máquina antes de começar
COMMAND:ACTION,Calibre os instrumentos antes de iniciar o experimento
COMMAND:ACTION,Cante uma música
COMMAND:ACTION,Carregue o dispositivo durante a noite
COMMAND:ACTION,Certifique-se de usar protetor solar em dias de sol
COMMAND:ACTION,Certifique-se de usar protetor solar quando estiver fora
COMMAND:ACTION,Certifique-se de verificar o seu trabalho antes de submeter
COMMAND:ACTION,Classifique o correio em categorias
COMMAND:ACTION,Colha os tomates maduros do jardim
COMMAND:ACTION,Coloque o próximo episódio da série na fila
COMMAND:ACTION,Coloque o seu telemóvel no modo silencioso
COMMAND:ACTION,Coloque roupas
COMMAND:ACTION,Coma o seu jantar
COMMAND:ACTION,Comece a assistir ao filme às 20h
COMMAND:ACTION,Comece a tocar a lista de reprodução que criei
COMMAND:ACTION,Comece a tocar a música desde o início
COMMAND:ACTION,Comece a tocar o audiolivro desde o início
COMMAND:ACTION,Comece a tocar o último episódio de "Serial"
COMMAND:ACTION,Comece o audiolivro em inglês a partir do capítulo cinco
COMMAND:ACTION,Compile a lista de todos os participantes
COMMAND:ACTION,Compile os dados em um relatório
COMMAND:ACTION,Complete a análise até ao final do dia
COMMAND:ACTION,Conduza até a loja
COMMAND:ACTION,Conduza com segurança
COMMAND:ACTION,Conecte o meu telefone ao altifalante Bluetooth
COMMAND:ACTION,Conecte-se à rede Wi-Fi mais próxima
COMMAND:ACTION,Configure as definições da impressora
COMMAND:ACTION,Configure as definições de rede de acordo com as diretrizes
COMMAND:ACTION,Configure o texto-para-fala para ler em alemão
COMMAND:ACTION,Configure um filtro de conteúdo para material explícito
COMMAND:ACTION,Configure uma chamada de videoconferência
COMMAND:ACTION,Conserte a torneira com vazamento
COMMAND:ACTION,Consolide todas as notas em um documento
COMMAND:ACTION,Consulte o manual antes de prosseguir
COMMAND:ACTION,Crie um backup dos seus ficheiros
COMMAND:ACTION,Dance ao som da música
COMMAND:ACTION,Decore o hall para o evento
COMMAND:ACTION,Decore o local com luzes festivas
COMMAND:ACTION,Defina a TV para mudo
COMMAND:ACTION,Defina a cafeteira para começar a preparar às 7h
COMMAND:ACTION,Defina a cafeteira para começar às 6h
COMMAND:ACTION,Defina a iluminação ambiente para relaxante
COMMAND:ACTION,Defina a máquina de café para começar a preparar às 7h
COMMAND:ACTION,Defina a preferência de idioma para Espanhol
COMMAND:ACTION,Defina a qualidade de reprodução da Netflix para HD
COMMAND:ACTION,Defina as luzes da sala de jantar para branco quente
COMMAND:ACTION,Defina o alarme para as 6:30h
COMMAND:ACTION,Defina o alarme para as 6h
COMMAND:ACTION,Defina o alarme para me acordar às 7h
COMMAND:ACTION,Defina o aquecedor de água para alto
COMMAND:ACTION,Defina o assistente de voz para Inglês
COMMAND:ACTION,Defina o filme para qualidade HD
COMMAND:ACTION,Defina o forno para pré-aquecer a 180 graus
COMMAND:ACTION,Defina o idioma padrão para Espanhol
COMMAND:ACTION,Defina o idioma para Espanhol no assistente de voz
COMMAND:ACTION,Defina o purificador de ar para modo alto
COMMAND:ACTION,Defina o reprodutor de música para modo aleatório
COMMAND:ACTION,Defina o sistema de alarme para o modo ausente
COMMAND:ACTION,Defina o sistema de alarme para o modo casa
COMMAND:ACTION,Defina o temporizador para 30 minutos
COMMAND:ACTION,Defina o termostato inteligente para 20 graus Celsius
COMMAND:ACTION,Defina o termostato para 20 graus
COMMAND:ACTION,Defina o termostato para 21 graus
COMMAND:ACTION,Defina o termostato para 22 graus
COMMAND:ACTION,Defina o texto para fala em Italiano
COMMAND:ACTION,Defina o volume do filme para 50%
COMMAND:ACTION,Defina o volume para 15
COMMAND:ACTION,Defina o volume para 50%
COMMAND:ACTION,Defina o volume para 50% para a palestra em Russo
COMMAND:ACTION,Defina o volume para 70% para a rádio Chinesa
COMMAND:ACTION,Defina o volume para o máximo
COMMAND:ACTION,Defina o vídeo para tela cheia
COMMAND:ACTION,Defina o áudio para mudo
COMMAND:ACTION,Defina um alarme para as 7h
COMMAND:ACTION,Defina um lembrete para a consulta com o dentista às 15h
COMMAND:ACTION,Defina um lembrete para a consulta com o médico
COMMAND:ACTION,Defina um lembrete para a reunião às 15h
COMMAND:ACTION,Defina um lembrete para as 15h
COMMAND:ACTION,Defina um lembrete para ver "Guardiões da Galáxia" às 20h
COMMAND:ACTION,Defina um temporizador para 10 minutos
COMMAND:ACTION,Defina um temporizador para o audiolivro
COMMAND:ACTION,Defina um temporizador para o podcast
COMMAND:ACTION,Desative as notificações
COMMAND:ACTION,Desative os filtros de conteúdo adulto
COMMAND:ACTION,Descarregue a atualização de software mais recente
COMMAND:ACTION,Descarregue o audiolivro para ouvir offline
COMMAND:ACTION,Descongele o congelador antes de o limpar
COMMAND:ACTION,Desenhe um desenho
COMMAND:ACTION,Desenhe uma foto
COMMAND:ACTION,Desinfete o equipamento após o uso
COMMAND:ACTION,Desligue a TV
COMMAND:ACTION,Desligue a TV após 30 minutos
COMMAND:ACTION,Desligue a TV após o filme terminar
COMMAND:ACTION,Desligue a música
COMMAND:ACTION,Desligue a música e toque o guia de áudio
COMMAND:ACTION,Desligue a tomada inteligente da máquina de café
COMMAND:ACTION,Desligue as luzes
COMMAND:ACTION,Desligue as luzes da garagem
COMMAND:ACTION,Desligue as luzes da sala de estar
COMMAND:ACTION,Desligue as luzes da sala de estar antes de dormir
COMMAND:ACTION,Desligue as luzes na cozinha
COMMAND:ACTION,Desligue as luzes na sala de estar
COMMAND:ACTION,Desligue as luzes no meu quarto
COMMAND:ACTION,Desligue as luzes no quarto
COMMAND:ACTION,Desligue as luzes quando sair
COMMAND:ACTION,Desligue o aquecedor
COMMAND:ACTION,Desligue o aquecedor portátil
COMMAND:ACTION,Desligue o computador antes de sair
COMMAND:ACTION,Desligue o forno
COMMAND:ACTION,Desligue todas as luzes da casa
COMMAND:ACTION,Destrave o carro
COMMAND:ACTION,Destrua os documentos confidenciais
COMMAND:ACTION,Desça o volume da música
COMMAND:ACTION,Desça o volume no altifalante do quarto
COMMAND:ACTION,Digite o relatório e imprima-o
COMMAND:ACTION,Diminua o brilho no ecrã
COMMAND:ACTION,Diminua o volume
COMMAND:ACTION,Diminue as luzes da sala de estar para 20%
COMMAND:ACTION,Diminue as luzes da sala de estar para 30%
COMMAND:ACTION,Diminue as luzes do quarto para 50%
COMMAND:ACTION,Diminue as luzes na cozinha para 30%
COMMAND:ACTION,Diminue as luzes no corredor para 30%
COMMAND:ACTION,Diminue as luzes para 50%
COMMAND:ACTION,Direcione os participantes para o salão principal
COMMAND:ACTION,Distribua os folhetos a todos os participantes
COMMAND:ACTION,Drene completamente o tanque de água
COMMAND:ACTION,Dê uma caminhada
COMMAND:ACTION,Dê uma viragem à esquerda
COMMAND:ACTION,Edite o vídeo para clareza
COMMAND:ACTION,Elimine as mensagens antigas
COMMAND:ACTION,Elimine gravações de voz antigas
COMMAND:ACTION,Elimine os ficheiros desnecessários
COMMAND:ACTION,Embale os itens frágeis com cuidado
COMMAND:ACTION,Embaralhe a lista de reprodução
COMMAND:ACTION,Embaralhe a lista de reprodução de rap francês
COMMAND:ACTION,Embrulhe os presentes com cuidado
COMMAND:ACTION,Encha o depósito de gasolina
COMMAND:ACTION,Encontre informações sobre Lisa Ann
COMMAND:ACTION,Encontre o posto de gasolina mais próximo
COMMAND:ACTION,Encontre um novo audiolivro no gênero mistério
COMMAND:ACTION,Encripte os dados sensíveis antes de partilhar
COMMAND:ACTION,Encripte os ficheiros para maior segurança
COMMAND:ACTION,Entregue-me a chave de fendas, por favor
COMMAND:ACTION,Envie o pacote por correio expresso
COMMAND:ACTION,Envie um e-mail
COMMAND:ACTION,Envie um lembrete para ligar à Mãe
COMMAND:ACTION,Envie um texto para o John dizendo que vou chegar tarde
COMMAND:ACTION,Envie uma mensagem de texto
COMMAND:ACTION,Envie uma mensagem de texto para a Mãe
COMMAND:ACTION,Envie uma mensagem de texto para o John dizendo que vou chegar tarde
COMMAND:ACTION,Envie uma mensagem para a Sarah dizendo que vou chegar tarde
COMMAND:ACTION,Escove os dentes
COMMAND:ACTION,Escreva um resumo da reunião
COMMAND:ACTION,Escreva uma carta
COMMAND:ACTION,Escreva uma nota de agradecimento ao patrocinador
COMMAND:ACTION,Espere por mim fora
COMMAND:ACTION,Esteja em silêncio
COMMAND:ACTION,Estude para o exame
COMMAND:ACTION,Exercite-se
COMMAND:ACTION,Exiba imagens de Riley Reid
COMMAND:ACTION,Exiba um filme no home theater
COMMAND:ACTION,Fale em inglês para esta sessão
COMMAND:ACTION,Faça a cama
COMMAND:ACTION,Faça backup da base de dados antes de fazer alterações
COMMAND:ACTION,Faça fotocópias dos documentos para a reunião
COMMAND:ACTION,Faça o seu dever de casa
COMMAND:ACTION,Faça um corte de cabelo
COMMAND:ACTION,Faça um inventário de todos os ativos
COMMAND:ACTION,Faça um levantamento do terreno antes da construção
COMMAND:ACTION,Faça um pouco de yoga
COMMAND:ACTION,Faça uma oração
COMMAND:ACTION,Faça uma pausa e estique as pernas
COMMAND:ACTION,Faça upload dos arquivos para a unidade partilhada
COMMAND:ACTION,Feche a janela
COMMAND:ACTION,Feche a porta atrás de si
COMMAND:ACTION,Feche a porta da garagem
COMMAND:ACTION,Feche as janelas da casa
COMMAND:ACTION,Feche todas as abas antes de desligar o computador
COMMAND:ACTION,Feche todas as aplicações abertas
COMMAND:ACTION,Ferva um pouco de água
COMMAND:ACTION,Filtre o conteúdo explícito dos resultados de pesquisa
COMMAND:ACTION,Fique aqui
COMMAND:ACTION,Formate o documento de acordo com o modelo
COMMAND:ACTION,Garanta o perímetro do edifício
COMMAND:ACTION,Gere o relatório usando o modelo fornecido
COMMAND:ACTION,Gere um relatório semanal de status
COMMAND:ACTION,Grave a ata da reunião
COMMAND:ACTION,Grave este programa de TV
COMMAND:ACTION,Grave o programa de TV atual
COMMAND:ACTION,Grave uma nota de voz
COMMAND:ACTION,Guarde o seu telemóvel
COMMAND:ACTION,Guarde os produtos perecíveis no frigorífico
COMMAND:ACTION,Guarde os seus brinquedos
COMMAND:ACTION,Ignore a introdução
COMMAND:ACTION,Ignore a introdução e vá diretamente para o conteúdo principal
COMMAND:ACTION,Inicialize o software antes de usar
COMMAND:ACTION,Inicie a máquina de café
COMMAND:ACTION,Inicie a máquina de café às 7h
COMMAND:ACTION,Inicie a máquina de lavar
COMMAND:ACTION,Inicie a máquina de lavar agora
COMMAND:ACTION,Inicie a máquina de lavar louça
COMMAND:ACTION,Inicie a transmissão de notícias da manhã
COMMAND:ACTION,Inicie o aplicativo da Netflix
COMMAND:ACTION,Inicie o aspirador
COMMAND:ACTION,Inicie o aspirador robô
COMMAND:ACTION,Inicie o aspirador robô na cozinha
COMMAND:ACTION,Inicie o aspirador robô na sala de estar
COMMAND:ACTION,Inicie o sistema de irrigação
COMMAND:ACTION,Inicie o áudio de aprendizagem de português
COMMAND:ACTION,Inicie sessão na sua conta usando a nova senha
COMMAND:ACTION,Inicie um novo episódio
COMMAND:ACTION,Inscreva-se na conferência que se aproxima
COMMAND:ACTION,Inspecione o equipamento em busca de danos
COMMAND:ACTION,Instale a nova atualização de software
COMMAND:ACTION,Instale a nova impressora no escritório
COMMAND:ACTION,Instale as atualizações de software esta noite
COMMAND:ACTION,Instale as atualizações de software mais recentes
COMMAND:ACTION,Interrompa a lista de reprodução de música italiana
COMMAND:ACTION,Interrompa a máquina de lavar louça
COMMAND:ACTION,Interrompa a música
COMMAND:ACTION,Interrompa a música e desligue o altifalante
COMMAND:ACTION,Interrompa a música na cozinha
COMMAND:ACTION,Interrompa a reprodução
COMMAND:ACTION,Interrompa a reprodução do audiolivro
COMMAND:ACTION,Interrompa a reprodução do áudio
COMMAND:ACTION,Interrompa o filme
COMMAND:ACTION,Interrompa o podcast e salve o episódio atual
COMMAND:ACTION,Interrompa o streaming da Netflix
COMMAND:ACTION,Interrompa o vídeo
COMMAND:ACTION,Interrompa o áudio e salve o progresso atual
COMMAND:ACTION,Inventarie os suprimentos na sala de armazenamento
COMMAND:ACTION,Lance a nova campanha de marketing
COMMAND:ACTION,Lance a versão atualizada do aplicativo
COMMAND:ACTION,Lave a louça
COMMAND:ACTION,Lave os veículos da empresa
COMMAND:ACTION,Leia a primeira página do audiolivro
COMMAND:ACTION,Leia as críticas deste audiolivro
COMMAND:ACTION,Leia as últimas notícias em alemão
COMMAND:ACTION,Leia o e-mail em voz alta
COMMAND:ACTION,Leia o resumo do audiolivro
COMMAND:ACTION,Leia um livro
COMMAND:ACTION,Leve o cão a passear
COMMAND:ACTION,Leve o lixo para fora
COMMAND:ACTION,Ligue para a mãe
COMMAND:ACTION,Ligue para o John
COMMAND:ACTION,Ligue-me de volta
COMMAND:ACTION,Limite o acesso a sites para adultos nesta rede
COMMAND:ACTION,Limpe o quadro branco após a reunião
COMMAND:ACTION,Limpe o quarto
COMMAND:ACTION,Mantenha o foco nos seus objetivos
COMMAND:ACTION,Mantenha-se seguro
COMMAND:ACTION,Mantenha-se seguro e hidratado no calor
COMMAND:ACTION,Marque este audiolivro como ouvido
COMMAND:ACTION,Medite
COMMAND:ACTION,Mobilize a equipe para ação imediata
COMMAND:ACTION,Monitore a atividade na web para conteúdo impróprio
COMMAND:ACTION,Monte a equipa para a reunião
COMMAND:ACTION,Monte a equipa para uma reunião
COMMAND:ACTION,Monte a nova secretária seguindo o manual
COMMAND:ACTION,Monte os móveis seguindo as instruções
COMMAND:ACTION,Mostre-me a previsão do tempo para amanhã
COMMAND:ACTION,Mostre-me a sua identificação
COMMAND:ACTION,Mostre-me as últimas atualizações sobre Jenna Jameson
COMMAND:ACTION,Mostre-me críticas de filmes para "A Origem"
COMMAND:ACTION,Mostre-me os audiolivros mais bem classificados em ficção
COMMAND:ACTION,Mostre-me os detalhes do audiolivro
COMMAND:ACTION,Mostre-me recomendações com base no meu histórico de visualizações
COMMAND:ACTION,Mostre-me trailers de futuros filmes de super-heróis
COMMAND:ACTION,Mostre-me uma lista de filmes com melhor classificação
COMMAND:ACTION,Mude a configuração de idioma para alemão
COMMAND:ACTION,Mude a configuração do termostato para arrefecer
COMMAND:ACTION,Mude a cor da luz do quarto para verde
COMMAND:ACTION,Mude a cor da luz para azul
COMMAND:ACTION,Mude a cor das lâmpadas inteligentes para azul
COMMAND:ACTION,Mude a entrada para HDMI 1
COMMAND:ACTION,Mude a faixa de áudio para espanhol
COMMAND:ACTION,Mude a fonte de entrada para HDMI 2
COMMAND:ACTION,Mude a qualidade do vídeo para 4K
COMMAND:ACTION,Mude a velocidade de reprodução do audiolivro para 1.5x
COMMAND:ACTION,Mude a voz para um sotaque inglês masculino
COMMAND:ACTION,Mude as configurações de idioma para francês
COMMAND:ACTION,Mude as configurações de pronúncia para inglês americano
COMMAND:ACTION,Mude o audiolivro para um narrador diferente
COMMAND:ACTION,Mude o canal da TV para a CNN
COMMAND:ACTION,Mude o canal da TV para a HBO
COMMAND:ACTION,Mude o canal da TV para desporto
COMMAND:ACTION,Mude o canal da TV para o 5
COMMAND:ACTION,Mude o canal para a CNN
COMMAND:ACTION,Mude o canal para desporto
COMMAND:ACTION,Mude o canal para o Discovery Channel
COMMAND:ACTION,Mude o idioma do assistente de voz para alemão
COMMAND:ACTION,Mude o perfil para "Crianças"
COMMAND:ACTION,Mude o perfil para Crianças
COMMAND:ACTION,Mude o termostato para 21 graus Celsius
COMMAND:ACTION,Mude o termostato para o modo de arrefecimento
COMMAND:ACTION,Mude o óleo
COMMAND:ACTION,Notifique as partes interessadas sobre a mudança
COMMAND:ACTION,Não poupe esforços para concluir a tarefa
COMMAND:ACTION,Não se atrase para a reunião
COMMAND:ACTION,Não se esqueça das suas chaves
COMMAND:ACTION,Não se esqueça de ajustar o seu alarme
COMMAND:ACTION,Não se esqueça de ajustar o seu alarme para amanhã de manhã
COMMAND:ACTION,Não se esqueça de desligar o fogão antes de sair
COMMAND:ACTION,Não se esqueça de desligar o forno quando terminar
COMMAND:ACTION,Não se esqueça de tomar a sua medicação
COMMAND:ACTION,Não se esqueça de trancar a porta
COMMAND:ACTION,Não se esqueça de trancar a porta quando sair
COMMAND:ACTION,Não se esqueça de trazer o seu cartão de identificação para o aeroporto
COMMAND:ACTION,Não se esqueça de trazer o seu passaporte para o aeroporto
COMMAND:ACTION,Obtenha as publicações mais recentes de Brandi Love
COMMAND:ACTION,Organize o evento de acordo com o cronograma
COMMAND:ACTION,Organize os arquivos alfabeticamente
COMMAND:ACTION,Organize os arquivos em ordem alfabética
COMMAND:ACTION,Organize os arquivos em pastas respectivas
COMMAND:ACTION,Otimize o site para tempos de carregamento mais rápidos
COMMAND:ACTION,Pague as contas
COMMAND:ACTION,Pare a TV
COMMAND:ACTION,Pare a faixa de música japonesa
COMMAND:ACTION,Pare a música
COMMAND:ACTION,Pare a música e diminua as luzes para uma noite de cinema
COMMAND:ACTION,Pare o audiolivro
COMMAND:ACTION,Pare o audiolivro francês atual
COMMAND:ACTION,Pare o filme
COMMAND:ACTION,Pare o filme na Netflix
COMMAND:ACTION,Pare o filme na TV inteligente
COMMAND:ACTION,Pare o filme por um momento
COMMAND:ACTION,Pare o podcast
COMMAND:ACTION,Pare o programa de TV
COMMAND:ACTION,Pare o vídeo por um momento
COMMAND:ACTION,Passe a roupa
COMMAND:ACTION,Patrulhe a área regularmente para segurança
COMMAND:ACTION,Pesquise audiolivros de Agatha Christie
COMMAND:ACTION,Pesquise audiolivros de J.K. Rowling
COMMAND:ACTION,Pesquise episódios sobre "saúde mental"
COMMAND:ACTION,Pesquise filmes de comédia
COMMAND:ACTION,Pesquise novos filmes de ação
COMMAND:ACTION,Pesquise novos podcasts de crimes reais
COMMAND:ACTION,Pesquise vídeos com Mia Khalifa
COMMAND:ACTION,Peça uma pizza
COMMAND:ACTION,Pinte as paredes de uma cor neutra
