binary_label,playback_label,media_label,template
not-media,question,not_media,which {author_name} starred in {series_name}
not-media,question,not_media,which {actor_name} invented {silent_movie_name}
not-media,question,not_media,which {actor_name} featured in {series_name}
not-media,question,not_media,which {music_artist_name} directed {short_film_name}
not-media,question,not_media,which {author_name} featured in {anime_name}
not-media,question,not_media,how many things did {music_artist_name} create
not-media,question,not_media,which {author_name} featured in {series_name}
not-media,question,not_media,{question_verb} did {author_name}
not-media,question,not_media,{generic_play_verb} was {author_name}
not-media,question,not_media,which {actor_name} starred in {short_film_name}
not-media,question,not_media,what did {music_artist_name} create
not-media,question,not_media,who featured in {short_film_name}
not-media,question,not_media,when is {actor_name} birthday
not-media,question,not_media,which {music_artist_name} starred in {silent_movie_name}
not-media,question,not_media,which {director_name} invented {movie_name}
not-media,question,not_media,which {music_artist_name} featured in {radio_theatre_name}
not-media,question,not_media,how did {author_name} die
not-media,question,not_media,how many things did {author_name} invent
not-media,question,not_media,which {director_name} featured in {movie_name}
not-media,question,not_media,which {author_name} directed {black_white_movie_name}
not-media,question,not_media,which {director_name} invented {radio_theatre_name}
not-media,question,not_media,which {author_name} created {silent_movie_name}
not-media,question,not_media,when was {audiobook_name} debut
not-media,question,not_media,who produced {cartoon_name}
not-media,question,not_media,when is {director_name} birthday
not-media,question,not_media,which {director_name} created {movie_name}
not-media,question,not_media,which {author_name} featured in {cartoon_name}
not-media,question,not_media,when is {music_artist_name} birthday
not-media,question,not_media,which {music_artist_name} featured in {anime_name}
not-media,question,not_media,which {actor_name} featured in {cartoon_name}
not-media,question,not_media,what did {author_name} create
not-media,question,not_media,when was {director_name} die
not-media,question,not_media,which {music_artist_name} featured in {movie_name}
not-media,question,not_media,which {music_artist_name} created {series_name}
not-media,question,not_media,{generic_play_verb} is {actor_name}
not-media,question,not_media,which {music_artist_name} featured in {series_name}
not-media,question,not_media,{generic_play_verb} is {author_name}
not-media,question,not_media,which {director_name} invented {cartoon_name}
not-media,question,not_media,which {director_name} featured in {cartoon_name}
not-media,question,not_media,which {author_name} created {black_white_movie_name}
not-media,question,not_media,which {actor_name} created {silent_movie_name}
not-media,question,not_media,who directed {movie_name}
not-media,question,not_media,which {actor_name} invented {short_film_name}
not-media,question,not_media,which {director_name} starred in {series_name}
not-media,question,not_media,which {music_artist_name} created {silent_movie_name}
not-media,question,not_media,when was {anime_name} debut
not-media,question,not_media,which {director_name} created {black_white_movie_name}
not-media,question,not_media,which {author_name} invented {radio_theatre_name}
not-media,question,not_media,which {director_name} directed {radio_theatre_name}
not-media,question,not_media,which {actor_name} featured in {anime_name}
not-media,question,not_media,where was {author_name} born
not-media,question,not_media,which {director_name} starred in {cartoon_name}
not-media,question,not_media,how many things did {director_name} invent
not-media,question,not_media,{question_verb} was {actor_name}
not-media,question,not_media,which {music_artist_name} starred in {short_film_name}
not-media,question,not_media,who produced {black_white_movie_name}
not-media,question,not_media,who directed {anime_name}
not-media,question,not_media,which {director_name} directed {anime_name}
not-media,question,not_media,what did {actor_name} discover
not-media,question,not_media,who produced {movie_name}
not-media,question,not_media,how many things did {director_name} discover
not-media,question,not_media,who starred in {movie_name}
not-media,question,not_media,when was {author_name} die
not-media,question,not_media,what did {author_name} discover
not-media,question,not_media,which {music_artist_name} created {black_white_movie_name}
not-media,question,not_media,{question_verb} did {director_name}
not-media,question,not_media,which {director_name} created {anime_name}
not-media,question,not_media,which {music_artist_name} invented {short_film_name}
